"id" "name" "terminalName" "lat" "long" "installed" "locked" "installDate" "removalDate" "temporary" "nbBikes" "nbEmptyDocks" "nbDocks"
"60" "Lisson Grove, St. John's Wood" "001030" "51.52644828" "-0.172190727" "true" "false" "1278769140000" "" "false" "0" "18" "18"
"61" "Great Dover Street, The Borough" "001017" "51.49738251" "-0.089446947" "true" "false" "1278773820000" "" "false" "2" "31" "33"
"62" "Cotton Garden Estate, Kennington" "000990" "51.4907579" "-0.106323685" "true" "false" "1278773940000" "" "false" "5" "19" "24"
"63" "Murray Grove , Hoxton" "000989" "51.53089041" "-0.089782579" "true" "false" "1278774120000" "" "false" "9" "17" "27"
"64" "William IV Street, Strand" "001028" "51.50946212" "-0.124749274" "true" "false" "1278774300000" "" "false" "14" "11" "26"
"65" "Gower Place , Euston" "000969" "51.52522753" "-0.13518856" "true" "false" "1278840660000" "" "false" "14" "2" "17"
"66" "Holborn Circus, Holborn" "000982" "51.51795029" "-0.108657431" "true" "false" "1278845280000" "1393938240000" "false" "4" "34" "40"
"67" "Hatton Garden, Holborn" "000985" "51.51882555" "-0.108028472" "true" "false" "1278847440000" "" "false" "21" "6" "28"
"68" "Theobald's Road , Holborn" "000975" "51.52059681" "-0.116688468" "true" "false" "1278857040000" "" "false" "19" "6" "26"
"69" "Euston Road, Euston" "000983" "51.5262363" "-0.134407652" "true" "false" "1278861540000" "" "false" "11" "13" "24"
"70" "Calshot Street , King's Cross" "001066" "51.53136059" "-0.117069978" "true" "false" "1278863340000" "" "false" "3" "21" "24"
"71" "Newgate Street , St. Paul's" "001074" "51.5154186" "-0.098850915" "true" "false" "1278924900000" "" "false" "7" "26" "34"
"72" "Farringdon Lane, Clerkenwell" "003432" "51.52352001" "-0.108340165" "true" "false" "1278936060000" "" "false" "14" "2" "16"
"73" "Old Street Station, St. Luke's" "001064" "51.52572618" "-0.088486188" "true" "false" "1278941040000" "" "false" "25" "9" "37"
"74" "Vauxhall Cross, Vauxhall" "001000" "51.48591714" "-0.124469948" "true" "false" "1278941160000" "" "false" "12" "2" "17"
"75" "Torrens Street, Angel" "001060" "51.53219984" "-0.105480698" "true" "false" "1278945180000" "" "false" "3" "16" "19"
"76" "Longford Street, The Regent's Park" "000976" "51.52559505" "-0.144083893" "true" "false" "1278946560000" "" "false" "0" "21" "21"
"77" "Russell Square Station, Bloomsbury" "000978" "51.52341837" "-0.124121774" "true" "false" "1278946860000" "" "false" "21" "5" "26"
"78" "Sadlers Sports Centre, Finsbury" "003433" "51.52486887" "-0.099489485" "true" "false" "1278948480000" "" "false" "15" "2" "17"
"80" "Webber Street , Southwark" "003448" "51.50069361" "-0.102091246" "true" "false" "1278952440000" "" "false" "14" "31" "45"
"81" "Great Titchfield Street, Fitzrovia" "003450" "51.52025302" "-0.141327271" "true" "false" "1279012980000" "" "false" "16" "2" "19"
